RBP	variable	value
ZCCHC11	hsa-let-7a-2	17.8362573099415
ZCCHC6	hsa-let-7a-2	13.1393298059965
HNRNPL	hsa-let-7a-2	9.03987426697421
STRBP	hsa-let-7a-2	0.21978021978022
NUDT16L1	hsa-let-7a-2	0.81592039800995
GRSF1	hsa-let-7a-2	0.615584415584416
HNRNPF	hsa-let-7a-2	1.38531863351582
HNRNPH1	hsa-let-7a-2	1.66111749632393
HNRNPH2	hsa-let-7a-2	1.58714309011859
HNRNPH3	hsa-let-7a-2	4.17707775995928
ADARB1	hsa-let-7a-2	0
ESRP1	hsa-let-7a-2	18.8140436823842
TRMT10C	hsa-let-7a-2	0
RBM4	hsa-let-7a-2	0.214285714285714
RBM4B	hsa-let-7a-2	0
RBM12B	hsa-let-7a-2	0
SLTM	hsa-let-7a-2	0
SAFB	hsa-let-7a-2	7.14285714285714
FUS	hsa-let-7a-2	3.13299110464575
TAF15	hsa-let-7a-2	1.81307673018869
RBM14	hsa-let-7a-2	0.681930269397226
DDX1	hsa-let-7a-2	4.20936371804329
APOBEC3B	hsa-let-7a-2	6.8190859265045
RTCB	hsa-let-7a-2	4.46404285893314
DDX23	hsa-let-7a-2	7.94194041252865
RBM47	hsa-let-7a-2	0
PRMT1	hsa-let-7a-2	0.550964187327824
RBM6	hsa-let-7a-2	0
SUGP1	hsa-let-7a-2	0
PLRG1	hsa-let-7a-2	2.38095238095238
CDC5L	hsa-let-7a-2	3.17369093231162
CDC40	hsa-let-7a-2	7.69230769230769
SF3A1	hsa-let-7a-2	5.51301482449023
SF3A3	hsa-let-7a-2	0.65359477124183
SF3B1	hsa-let-7a-2	2.87271224928617
SF3B2	hsa-let-7a-2	3.33941700759295
SF3B3	hsa-let-7a-2	2.90788282244686
SF3B4	hsa-let-7a-2	0.4
SF3B5	hsa-let-7a-2	0
U2SURP	hsa-let-7a-2	3.74010398331259
RBM10	hsa-let-7a-2	0
CHERP	hsa-let-7a-2	1.01010101010101
CCAR1	hsa-let-7a-2	0
RBM17	hsa-let-7a-2	1.58730158730159
RBM5	hsa-let-7a-2	0
AQR	hsa-let-7a-2	0.8
XAB2	hsa-let-7a-2	0
PAXBP1	hsa-let-7a-2	0
PURA	hsa-let-7a-2	0
PURB	hsa-let-7a-2	0
PLOD1	hsa-let-7a-2	8.54809556672911
HNRNPA0	hsa-let-7a-2	2.65004529191011
HNRNPA1	hsa-let-7a-2	5.1122906434956
HNRNPA2B1	hsa-let-7a-2	6.12582591825792
HNRNPA3	hsa-let-7a-2	5.96999481594224
HNRNPK	hsa-let-7a-2	1.78775158002063
KIN	hsa-let-7a-2	0
TRIM71	hsa-let-7a-2	0
G3BP2	hsa-let-7a-2	0.294117647058824
ZC3H7A	hsa-let-7a-2	0
ZC3H7B	hsa-let-7a-2	0
XRN1	hsa-let-7a-2	0
TRIM25	hsa-let-7a-2	0
ATXN2L	hsa-let-7a-2	0.367647058823529
ATXN2	hsa-let-7a-2	0
NUFIP2	hsa-let-7a-2	0.659340659340659
TTC3	hsa-let-7a-2	0
PAPD4	hsa-let-7a-2	0
ZC3H11A	hsa-let-7a-2	0
HNRNPM	hsa-let-7a-2	1.11231919845404
ZNF346	hsa-let-7a-2	0
RTCA	hsa-let-7a-2	0
DHX36	hsa-let-7a-2	0.769322625906798
USP36	hsa-let-7a-2	0
PATL1	hsa-let-7a-2	0
EDC3	hsa-let-7a-2	0
EDC4	hsa-let-7a-2	0
DCP1A	hsa-let-7a-2	0
DCP1B	hsa-let-7a-2	0
DCP2	hsa-let-7a-2	0
DDX3X	hsa-let-7a-2	2.26131786482063
DDX3Y	hsa-let-7a-2	0
HNRNPR	hsa-let-7a-2	3.98324160406467
SYNCRIP	hsa-let-7a-2	3.7466663490115
ZFR	hsa-let-7a-2	1.93750239587526
TRMT1L	hsa-let-7a-2	0
MSI1	hsa-let-7a-2	2.1021021021021
MSI2	hsa-let-7a-2	3.45112585049672
